barcode,x,y,first_type,n_cell_types,CD14_CD16_monocyte,CD14_monocyte,CD16_monocyte,CD16_NK_cell,Cytotoxic_CD8+_T_cell,Dendritic_cell,Effector_memory_CD8+_T_cell,Megakaryocyte,Memory_B_cell,Memory_CD4+_T_cell,Naive_B_cell,Naive_CD4_T_cell,Naive_CD8+_T_cells,NKT_cell,Regulatory_T_cell
BIN.1247994,1062,258,CD14_monocyte,2,0.00014362659660129,0.32805945774208,0.149299506315781,0.000143626596601161,0.000143626596601208,0.000143626596601186,0.000143626596601512,0.000143626599243081,0.0189516066065449,0.0312214944362113,0.000143626596601174,0.00583197872746483,0.289184835454399,0.176302107942067,0.000143626596601195
BIN.1119621,953,69,Naive_CD8+_T_cells,1,0.173965347531408,0.000219785113293621,0.0573382570859443,0.000219785113293623,0.0701856409105222,0.000219785113293622,0.000219785113293708,0.0276015997186718,0.165372692119777,0.000219785113293557,0.000219785113293613,0.000219785113293676,0.272886349251297,0.0578715224438262,0.173240095145498
BIN.409017,348,945,Naive_CD8+_T_cells,1,0.000162590490958187,0.183512759919978,0.00418156420167652,0.000162590490958189,0.000162590490958187,0.000162590490958187,0.116646066470852,0.0177581433420447,0.000162590490958188,0.173286537503649,0.000162590490958188,0.191129669036673,0.312184535597462,0.000162590490958189,0.000162590490958188
BIN.1093508,930,1004,Memory_CD4+_T_cell,1,0.000249233499781774,0.25278782186842,0.181490290138423,0.0799473993737514,0.0668707322120016,0.108397710048193,0.000249233499781761,0.0122033105185072,0.00024923349978186,0.296308867842895,0.000249233499329645,0.000249233499781717,0.00024923349978175,0.000249233499781963,0.000249233499788062
BIN.270637,231,157,Naive_CD4_T_cell,1,0.000174529254861661,0.105728683476567,0.206769261231199,0.0135165762785768,0.145885900938787,0.000174529254862912,0.000174529254861493,0.000174529251564809,0.000174529254861679,0.000174529254861699,0.132249912764144,0.394278902020267,0.000174529254861685,0.000174529254861691,0.000174529254861504
BIN.801900,682,1044,Memory_CD4+_T_cell,2,0.000967276849671662,0.227129112453677,0.246411009116429,0.000162433332489155,0.000162433332489203,0.123990233062829,0.000162433332489169,0.00646211440209457,0.000162433332489116,0.361358443668198,0.000162433332489569,0.0323823437871876,0.000162433332489216,0.000162433332489166,0.000162433332489181
BIN.1017035,865,971,CD16_monocyte,1,0.000246632220384731,0.232558405425661,0.273075667375175,0.000246632220384713,0.000246632220384709,0.106233399656586,0.000246632220384735,0.0147269677067341,0.0759483709896198,0.139250226594008,0.0592562493354758,0.0972242873740477,0.000246632220384717,0.000246632220384681,0.000246632220384236
BIN.1376090,1171,170,Effector_memory_CD8+_T_cell,1,0.000170088269926396,0.0502410319279328,0.00686785736789917,0.000170088269926384,0.000170088269926475,0.322357833046701,0.443440422040385,0.00910080469764058,0.000170088269930553,0.000170088269926261,0.000170088269926404,0.0001700882699263,0.166425668422922,0.000205676337104673,0.000170088269925831
BIN.1233813,1050,189,Dendritic_cell,2,0.000163201533990523,0.132736701498549,0.105868167270871,0.0633188127686584,0.000163201533990631,0.293735388124336,0.0548162926842802,0.000163201533990569,0.00016320153399057,0.0326819042793027,0.000163201533990611,0.136757338386521,0.178942984249548,0.000163201533990381,0.000163201533990683
